id	trial	item	anchor	answer	example
19_11_22_143320.txt_01	1	length	high	lower	Tereza
19_11_22_143320.txt_01	2	price	low	higher	Audi
19_11_22_143320.txt_01	3	age	low	higher	Andrej Babiö
19_11_22_143320.txt_01	4	unemployment	high	lower	Jihomoravsk˝
19_11_22_143320.txt_01	5	population	high	higher	Slovensk· republika
19_11_22_143320.txt_01	6	days	high	lower	Saturn
19_11_22_143320.txt_01	7	weight	low	higher	opice
19_11_22_143320.txt_01	8	salary	high	lower	˙ËetnÌk
19_11_22_143320.txt_01	9	temperature	high	higher	Ëervenec
19_11_22_143320.txt_01	10	distance	high	lower	Bratislava
19_11_26_131705.txt_01	1	weight	low	higher	Tigr
19_11_26_131705.txt_01	2	temperature	low	higher	leden
19_11_26_131705.txt_01	3	length	low	higher	Denisa
19_11_26_131705.txt_01	4	salary	low	higher	peka¯
19_11_26_131705.txt_01	5	age	low	higher	Mikul·ö Bek
19_11_26_131705.txt_01	6	unemployment	high	lower	Jihomoravsk˝
19_11_26_131705.txt_01	7	days	low	higher	Mars
19_11_26_131705.txt_01	8	price	high	lower	Mazda
19_11_26_131705.txt_01	9	population	high	lower	Polsko
19_11_26_131705.txt_01	10	distance	high	lower	Budapeöù
19_11_27_145611.txt_01	1	distance	high	lower	BerlÌn
19_11_27_145611.txt_01	2	population	low	higher	Slovensk· republika
19_11_27_145611.txt_01	3	days	low	higher	Merkur
19_11_27_145611.txt_01	4	temperature	low	higher	jaro
19_11_27_145611.txt_01	5	length	high	lower	B¯etislav
19_11_27_145611.txt_01	6	age	high	lower	Dominik Feri
19_11_27_145611.txt_01	7	unemployment	high	lower	St¯edoËesk˝
19_11_27_145611.txt_01	8	salary	high	lower	uËitel
19_11_27_145611.txt_01	9	price	high	lower	Ford
19_11_27_145611.txt_01	10	weight	low	higher	fenek
19_11_27_162422.txt_01	1	days	low	higher	Jupiter
19_11_27_162422.txt_01	2	weight	low	higher	Slon
19_11_27_162422.txt_01	3	age	low	higher	Dominik Feri
19_11_27_162422.txt_01	4	length	low	higher	Jan
19_11_27_162422.txt_01	5	salary	high	lower	dÏlnÌk
19_11_27_162422.txt_01	6	population	low	higher	NÏmecko
19_11_27_162422.txt_01	7	price	high	lower	Mercedes
19_11_27_162422.txt_01	8	unemployment	low	higher	⁄steck˝
19_11_27_162422.txt_01	9	distance	low	higher	Bratislava
19_11_27_162422.txt_01	10	temperature	high	lower	Ëervenec
19_12_02_162058.txt_01	1	age	high	lower	Klaus Ml
19_12_02_162058.txt_01	2	population	high	lower	Francie
19_12_02_162058.txt_01	3	unemployment	low	higher	PlzeÚsk˝ kraj
19_12_02_162058.txt_01	4	weight	low	higher	hlodavec
19_12_02_162058.txt_01	5	price	low	higher	Audi
19_12_02_162058.txt_01	6	distance	high	higher	Pa¯Ìû
19_12_02_162058.txt_01	7	length	low	higher	Jakub
19_12_02_162058.txt_01	8	salary	low	higher	Elektrik·¯
19_12_02_162058.txt_01	9	temperature	low	higher	ÿÌjen
19_12_02_162058.txt_01	10	days	low	higher	Uran
19_12_03_112701.txt_01	1	salary	high	lower	uËitel
19_12_03_112701.txt_01	2	distance	low	higher	Madrid
19_12_03_112701.txt_01	3	unemployment	high	lower	jihoËesk˝
19_12_03_112701.txt_01	4	age	low	higher	Bartoö
19_12_03_112701.txt_01	5	price	high	lower	ökoda
19_12_03_112701.txt_01	6	population	high	lower	Lucembursko
19_12_03_112701.txt_01	7	length	low	higher	KarolÌna
19_12_03_112701.txt_01	8	weight	low	higher	k˘Ú
19_12_03_112701.txt_01	9	days	low	higher	Saturn
19_12_03_112701.txt_01	10	temperature	low	higher	leden
19_12_03_143447.txt_01	1	distance	low	higher	BerlÌn
19_12_03_143447.txt_01	2	days	high	lower	Jupiter
19_12_03_143447.txt_01	3	price	high	lower	äkoda
19_12_03_143447.txt_01	4	salary	high	lower	Policista
19_12_03_143447.txt_01	5	length	high	lower	Anna
19_12_03_143447.txt_01	6	temperature	high	higher	B¯ezen
19_12_03_143447.txt_01	7	weight	low	higher	MedvÏd
19_12_03_143447.txt_01	8	unemployment	low	higher	JihoËesk˝
19_12_03_143447.txt_01	9	population	high	lower	NÏmecko
19_12_03_143447.txt_01	10	age	low	higher	NevÌm
19_12_04_132231.txt_01	1	length	high	lower	Jan
19_12_04_132231.txt_01	2	weight	high	lower	ûirafa
19_12_04_132231.txt_01	3	days	high	lower	mars
19_12_04_132231.txt_01	4	distance	high	lower	VÌdeÚ
19_12_04_132231.txt_01	5	population	low	higher	NÏmecko
19_12_04_132231.txt_01	6	unemployment	low	higher	jihoËesk˝
19_12_04_132231.txt_01	7	price	high	lower	peugeot
19_12_04_132231.txt_01	8	age	high	lower	Rath
19_12_04_132231.txt_01	9	salary	low	higher	uËitel
19_12_04_132231.txt_01	10	temperature	high	lower	leden
19_12_04_142916.txt_01	1	length	high	lower	Kate¯ina
19_12_04_142916.txt_01	2	salary	high	lower	uËitel
19_12_04_142916.txt_01	3	price	low	higher	ökoda
19_12_04_142916.txt_01	4	age	high	lower	helena v·lkov·
19_12_04_142916.txt_01	5	unemployment	low	lower	st¯edoËesk˝
19_12_04_142916.txt_01	6	population	high	lower	NÏmecko
19_12_04_142916.txt_01	7	temperature	high	lower	b¯ezen
19_12_04_142916.txt_01	8	days	high	lower	pluto
19_12_04_142916.txt_01	9	distance	high	lower	berlÌn
19_12_04_142916.txt_01	10	weight	high	lower	gorila
19_12_04_162340.txt_01	1	distance	high	lower	Bratislava
19_12_04_162340.txt_01	2	age	low	higher	Andrej Babiö
19_12_04_162340.txt_01	3	population	low	higher	»esk· republika
19_12_04_162340.txt_01	4	weight	high	lower	kr·lÌk
19_12_04_162340.txt_01	5	salary	low	higher	uËitel
19_12_04_162340.txt_01	6	price	low	higher	äkoda
19_12_04_162340.txt_01	7	unemployment	low	higher	VysoËina
19_12_04_162340.txt_01	8	days	low	higher	Mars
19_12_04_162340.txt_01	9	length	low	higher	Adam
19_12_04_162340.txt_01	10	temperature	low	higher	leden
19_12_05_132053.txt_01	1	price	low	higher	VW Golf
19_12_05_132053.txt_01	2	age	low	higher	Hrib, Bartak, Kalousek
19_12_05_132053.txt_01	3	population	low	higher	Francie
19_12_05_132053.txt_01	4	distance	high	lower	Lisabon
19_12_05_132053.txt_01	5	weight	high	lower	cibetka
